student_id,subject,quiz_score,quiz_accuracy,total_attempts,study_time_hours,average_time_per_question,completion_rate,previous_score,current_score,practice_questions,difficulty_level,time_management_score,consistency_score,timestamp
STU00001,Python,72.3,76.8,1,3.7,80.6,97.2,63.7,72.3,8,Easy,61.4,79.6,2025-09-08 01:00:00
STU00001,Data Structures,57.7,60.7,2,2.6,72.8,100.0,72.3,57.7,13,Medium,57.8,74.5,2025-09-12 03:00:00
STU00001,Algorithms,65.4,63.6,3,2.4,72.0,97.6,57.7,65.4,9,Easy,58.4,73.1,2025-09-16 07:00:00
STU00001,Database,44.0,48.5,4,2.4,75.6,96.4,65.4,44.0,15,Easy,60.7,66.5,2025-09-20 04:00:00
STU00001,Web Development,54.1,52.5,5,1.9,69.0,99.7,44.0,54.1,10,Hard,57.1,76.4,2025-09-24 04:00:00
STU00001,Python,84.5,84.8,6,2.9,69.7,87.9,54.1,84.5,9,Easy,59.1,79.0,2025-09-28 06:00:00
STU00001,Data Structures,65.0,67.0,7,3.3,76.2,99.6,84.5,65.0,22,Medium,60.4,79.7,2025-10-02 05:00:00
STU00001,Algorithms,52.3,53.7,8,4.0,78.4,98.6,65.0,52.3,9,Medium,60.5,76.2,2025-10-06 03:00:00
STU00001,Database,56.0,54.9,9,4.0,58.0,93.1,52.3,56.0,8,Medium,58.2,76.2,2025-10-10 05:00:00
STU00001,Web Development,70.4,68.7,10,1.5,72.1,88.7,56.0,70.4,24,Medium,59.4,73.3,2025-10-14 02:00:00
STU00001,Python,60.8,64.0,11,1.9,74.2,90.0,70.4,60.8,24,Hard,63.7,75.4,2025-10-18 08:00:00
STU00001,Data Structures,74.4,78.3,12,2.3,83.5,97.9,60.8,74.4,10,Easy,63.0,80.4,2025-10-22 02:00:00
STU00001,Algorithms,58.6,55.5,13,3.9,76.5,99.2,74.4,58.6,21,Hard,68.0,76.0,2025-10-26 04:00:00
STU00001,Database,48.6,51.2,14,3.7,68.6,95.9,58.6,48.6,10,Medium,56.2,82.5,2025-10-30 04:00:00
STU00001,Web Development,67.7,68.7,15,1.7,79.1,95.7,48.6,67.7,24,Medium,59.4,83.9,2025-11-03 04:00:00
STU00001,Python,81.1,83.7,16,2.1,65.4,95.7,67.7,81.1,11,Medium,62.5,80.4,2025-11-07 07:00:00
STU00001,Data Structures,77.3,75.8,17,3.1,79.8,97.4,81.1,77.3,11,Medium,59.0,80.6,2025-11-11 08:00:00
STU00001,Algorithms,57.4,56.0,18,1.7,77.2,87.6,77.3,57.4,11,Easy,73.5,82.8,2025-11-15 01:00:00
STU00001,Database,50.7,52.2,19,2.7,71.4,98.9,57.4,50.7,9,Hard,59.1,78.2,2025-11-19 07:00:00
STU00001,Web Development,78.1,77.2,20,3.9,77.9,94.9,50.7,78.1,23,Easy,60.9,80.8,2025-11-23 01:00:00
STU00002,Python,73.1,69.0,1,2.9,76.9,94.5,60.5,73.1,10,Easy,62.1,68.5,2025-09-10 06:00:00
STU00002,Data Structures,68.0,70.2,2,2.5,76.0,92.0,73.1,68.0,18,Hard,75.1,61.9,2025-09-14 01:00:00
STU00002,Algorithms,67.7,67.7,3,2.0,76.5,100.0,68.0,67.7,10,Medium,69.5,63.3,2025-09-18 03:00:00
STU00002,Database,86.6,78.4,4,3.5,69.1,93.9,67.7,86.6,25,Medium,64.9,71.6,2025-09-22 03:00:00
STU00002,Web Development,68.8,70.5,5,2.2,78.7,98.6,86.6,68.8,16,Easy,63.6,65.9,2025-09-26 01:00:00
STU00002,Python,78.6,78.4,6,3.4,74.5,92.6,68.8,78.6,22,Easy,62.7,64.6,2025-09-30 01:00:00
STU00002,Data Structures,84.9,86.5,7,1.6,71.5,98.7,78.6,84.9,21,Easy,69.1,68.4,2025-10-04 01:00:00
STU00002,Algorithms,60.0,58.6,8,3.5,82.1,92.3,84.9,60.0,12,Hard,69.3,64.6,2025-10-08 03:00:00
STU00002,Database,77.3,77.8,9,3.3,69.5,100.0,60.0,77.3,15,Hard,65.9,73.0,2025-10-12 02:00:00
STU00002,Web Development,67.8,67.4,10,3.8,71.1,100.0,77.3,67.8,15,Easy,67.7,71.8,2025-10-16 07:00:00
STU00002,Python,84.9,85.4,11,3.1,62.0,100.0,67.8,84.9,25,Easy,66.2,66.8,2025-10-20 05:00:00
STU00002,Data Structures,91.5,90.1,12,2.6,74.5,91.6,84.9,91.5,24,Easy,73.1,71.7,2025-10-24 04:00:00
STU00002,Algorithms,84.9,84.8,13,2.8,73.7,88.5,91.5,84.9,14,Easy,65.7,67.1,2025-10-28 06:00:00
STU00002,Database,97.5,93.0,14,2.8,72.8,91.9,84.9,97.5,17,Medium,64.2,65.1,2025-11-01 07:00:00
STU00002,Web Development,67.0,68.7,15,2.9,79.4,95.0,97.5,67.0,21,Medium,67.9,60.6,2025-11-05 06:00:00
STU00002,Python,81.6,78.3,16,3.8,76.7,92.7,67.0,81.6,10,Medium,65.4,71.7,2025-11-09 06:00:00
STU00002,Data Structures,96.1,93.5,17,3.5,74.9,96.0,81.6,96.1,23,Easy,61.4,61.6,2025-11-13 08:00:00
STU00002,Algorithms,79.0,74.6,18,2.7,75.0,100.0,96.1,79.0,8,Medium,72.9,61.0,2025-11-17 02:00:00
STU00002,Database,83.6,88.0,19,2.7,63.4,91.8,79.0,83.6,11,Medium,59.8,67.9,2025-11-21 06:00:00
STU00002,Web Development,58.0,61.1,20,2.8,76.8,90.6,83.6,58.0,13,Hard,66.5,61.4,2025-11-25 05:00:00
STU00003,Python,56.6,57.7,1,2.5,83.5,93.9,45.4,56.6,14,Easy,51.7,53.7,2025-09-07 01:00:00
STU00003,Data Structures,48.7,48.5,2,2.4,89.5,87.2,56.6,48.7,21,Hard,43.4,55.6,2025-09-11 04:00:00
STU00003,Algorithms,57.5,57.2,3,3.2,92.1,88.9,48.7,57.5,22,Medium,59.5,51.7,2025-09-15 01:00:00
STU00003,Database,44.3,45.4,4,2.6,91.4,93.1,57.5,44.3,16,Hard,47.7,59.0,2025-09-19 06:00:00
STU00003,Web Development,67.5,60.2,5,2.6,91.8,91.1,44.3,67.5,25,Easy,59.0,60.3,2025-09-23 04:00:00
STU00003,Python,47.7,51.8,6,3.9,88.5,95.8,67.5,47.7,12,Medium,50.0,61.6,2025-09-27 02:00:00
STU00003,Data Structures,50.8,55.7,7,1.9,80.9,90.9,47.7,50.8,11,Medium,50.1,54.8,2025-10-01 05:00:00
STU00003,Algorithms,68.8,64.6,8,3.9,81.3,98.8,50.8,68.8,10,Easy,43.4,53.0,2025-10-05 04:00:00
STU00003,Database,62.0,65.3,9,1.8,97.8,94.3,68.8,62.0,19,Easy,43.9,55.9,2025-10-09 02:00:00
STU00003,Web Development,57.4,61.9,10,1.8,96.3,93.6,62.0,57.4,22,Medium,48.6,53.0,2025-10-13 05:00:00
STU00003,Python,56.3,59.6,11,3.6,82.2,93.1,57.4,56.3,15,Medium,50.5,55.6,2025-10-17 08:00:00
STU00003,Data Structures,60.6,62.5,12,1.6,89.6,93.0,56.3,60.6,14,Easy,47.8,59.6,2025-10-21 05:00:00
STU00003,Algorithms,58.8,58.4,13,3.9,94.8,98.3,60.6,58.8,23,Hard,46.9,56.1,2025-10-25 08:00:00
STU00003,Database,57.3,58.6,14,2.1,85.1,91.8,58.8,57.3,19,Medium,44.8,57.9,2025-10-29 07:00:00
STU00003,Web Development,52.4,49.8,15,2.3,87.7,100.0,57.3,52.4,18,Hard,53.3,60.5,2025-11-02 03:00:00
STU00003,Python,68.6,64.7,16,3.4,71.9,88.6,52.4,68.6,14,Easy,48.6,60.7,2025-11-06 05:00:00
STU00003,Data Structures,74.2,66.2,17,2.9,85.2,93.0,68.6,74.2,23,Easy,50.2,57.5,2025-11-10 05:00:00
STU00003,Algorithms,68.4,67.5,18,3.9,75.3,96.0,74.2,68.4,20,Medium,44.5,57.4,2025-11-14 01:00:00
STU00003,Database,68.7,69.1,19,2.1,78.9,93.5,68.4,68.7,15,Easy,50.3,53.2,2025-11-18 08:00:00
STU00003,Web Development,64.9,63.2,20,1.7,88.0,94.5,68.7,64.9,14,Easy,47.5,54.9,2025-11-22 02:00:00
STU00004,Python,88.3,92.2,1,4.0,37.3,96.9,73.7,88.3,15,Easy,81.5,73.0,2025-09-19 03:00:00
STU00004,Data Structures,89.8,85.1,2,3.4,35.5,97.0,88.3,89.8,17,Easy,83.8,70.9,2025-09-23 08:00:00
STU00004,Algorithms,84.4,87.5,3,3.5,40.1,95.5,89.8,84.4,8,Medium,92.7,80.0,2025-09-27 05:00:00
STU00004,Database,94.3,91.1,4,3.1,31.9,100.0,84.4,94.3,21,Medium,83.7,76.6,2025-10-01 02:00:00
STU00004,Web Development,89.2,87.9,5,2.4,29.6,97.5,94.3,89.2,20,Medium,88.7,75.4,2025-10-05 08:00:00
STU00004,Python,100.0,97.5,6,4.2,35.7,94.8,89.2,100.0,25,Easy,85.5,80.4,2025-10-09 06:00:00
STU00004,Data Structures,83.8,83.5,7,2.7,38.5,97.4,100.0,83.8,23,Medium,94.5,87.5,2025-10-13 04:00:00
STU00004,Algorithms,88.2,87.9,8,2.6,36.8,93.4,83.8,88.2,11,Medium,85.4,78.2,2025-10-17 05:00:00
STU00004,Database,88.2,95.4,9,2.6,29.5,93.8,88.2,88.2,24,Medium,86.7,77.9,2025-10-21 02:00:00
STU00004,Web Development,92.6,89.0,10,3.3,36.0,92.1,88.2,92.6,17,Easy,89.5,75.5,2025-10-25 08:00:00
STU00004,Python,78.4,78.1,11,3.9,25.0,100.0,92.6,78.4,14,Hard,89.7,79.7,2025-10-29 07:00:00
STU00004,Data Structures,100.0,99.4,12,3.8,35.7,91.3,78.4,100.0,12,Easy,85.7,80.1,2025-11-02 06:00:00
STU00004,Algorithms,77.1,75.8,13,3.1,31.9,91.0,100.0,77.1,12,Hard,93.0,83.2,2025-11-06 05:00:00
STU00004,Database,89.3,94.0,14,4.1,36.9,92.0,77.1,89.3,18,Easy,80.9,74.1,2025-11-10 08:00:00
STU00004,Web Development,89.0,87.2,15,4.3,44.8,94.9,89.3,89.0,21,Hard,93.5,79.1,2025-11-14 02:00:00
STU00004,Python,93.7,94.2,16,4.0,31.1,98.7,89.0,93.7,12,Medium,86.9,84.2,2025-11-18 03:00:00
STU00004,Data Structures,91.7,94.7,17,2.6,37.4,93.8,93.7,91.7,22,Easy,83.9,76.7,2025-11-22 01:00:00
STU00004,Algorithms,82.7,79.0,18,2.2,49.8,91.0,91.7,82.7,17,Hard,84.1,76.8,2025-11-26 05:00:00
STU00004,Database,100.0,100.0,19,2.3,29.3,97.6,82.7,100.0,17,Medium,90.1,79.9,2025-11-30 07:00:00
STU00004,Web Development,93.2,97.8,20,2.1,26.7,92.1,100.0,93.2,17,Easy,87.2,77.2,2025-12-04 06:00:00
